Action,Object Type,Object Name,Event Display Name,Object Owner,Object Description,Event Category,Tags,Event Schema Status,Event Activity,Event Hidden From Dropdowns,Event Hidden From Persona Results,Event Hidden From Pathfinder,Event Hidden From Timeline,Event Source,Event 30 Day Volume,Event 30 Day Queries,Event First Seen,Event Last Seen,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Schema Status,Property Required,Property Visibility,Property Is Array,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
,Event,"""hithere""",,,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[Amplitude] [Flag] Enrollment Event,,naoto.yamaura@amplitude.com,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2020-10-30,2021-05-25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,[Skylab] Endpoint,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-03-05,2021-05-25
,,,,,,,,,,,,,,,,,,,Event Property,,[Skylab] Environment ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-03-05,2021-05-25
,,,,,,,,,,,,,,,,,,,Event Property,,[Skylab] Environment Name,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-03-05,2021-05-25
,Event,[Amplitude] Attribution Captured,,naoto.yamaura@amplitude.com,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2020-09-22,2021-10-25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,gclid,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-09-10,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,referrer,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-08-26,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,referring_domain,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-08-26,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,utm_campaign,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-09-10,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,utm_content,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-09-10,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,utm_medium,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-09-10,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,utm_source,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-09-10,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,utm_term,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-09-10,2025-06-07
